"","dates","Days","EVI","Cases","Index","pvs","pvn","lag_all","c_all","se_all","sp_all","name"
"57027",18408,126,0.029281993294488,6331.14285714286,1,0.963414634146341,0.405405405405405,30,0.01,0.782178217821782,0.833333333333333,"India"
"57028",18409,127,0.0289334430644717,6579.71428571429,1,0.963855421686747,0.405405405405405,30,0.01,0.784313725490196,0.833333333333333,"India"
"57029",18410,128,0.0229748607680255,6737.14285714286,1,0.964285714285714,0.405405405405405,30,0.01,0.786407766990291,0.833333333333333,"India"
"57030",18411,129,0.0202832882826067,6956.71428571429,1,0.964705882352941,0.405405405405405,30,0.01,0.788461538461538,0.833333333333333,"India"
"57031",18412,130,0.0165327733356816,7200.57142857143,1,0.965116279069767,0.405405405405405,30,0.01,0.79047619047619,0.833333333333333,"India"
"57032",18413,131,0.0163612755625835,7439,1,0.96551724137931,0.405405405405405,30,0.01,0.792452830188679,0.833333333333333,"India"
"57033",18414,132,0.0129727620738237,7631.42857142857,1,0.965909090909091,0.405405405405405,30,0.01,0.794392523364486,0.833333333333333,"India"
"57034",18415,133,0.0207817667002922,8056.85714285714,1,0.966292134831461,0.405405405405405,30,0.01,0.796296296296296,0.833333333333333,"India"
"57035",18416,134,0.0295156876304981,8391.14285714286,1,0.966666666666667,0.405405405405405,30,0.01,0.798165137614679,0.833333333333333,"India"
"57036",18417,135,0.0329408163514943,8761,1,0.967032967032967,0.405405405405405,30,0.01,0.8,0.833333333333333,"India"
"57037",18418,136,0.0321200321466421,8956.14285714286,1,0.967391304347826,0.405405405405405,30,0.01,0.801801801801802,0.833333333333333,"India"
"57038",18419,137,0.0339373359041625,9256.42857142857,1,0.967741935483871,0.405405405405405,30,0.01,0.803571428571429,0.833333333333333,"India"
"57039",18420,138,0.0330340582171606,9553.85714285714,1,0.968085106382979,0.405405405405405,30,0.01,0.805309734513274,0.833333333333333,"India"
"57040",18421,139,0.0248083761091153,9651.14285714286,1,0.968421052631579,0.405405405405405,30,0.01,0.807017543859649,0.833333333333333,"India"
"57041",18422,140,0.0235044481815339,9850.71428571429,1,0.96875,0.405405405405405,30,0.01,0.808695652173913,0.833333333333333,"India"
"57042",18423,141,0.0140568104950358,9968.71428571429,1,0.969072164948454,0.405405405405405,30,0.01,0.810344827586207,0.833333333333333,"India"
"57043",18424,142,0.00866876908091612,10117.4285714286,0,0.969387755102041,0.405405405405405,30,0.01,0.811965811965812,0.833333333333333,"India"
"57044",18425,143,0.00534756755153756,10401.2857142857,0,0.96969696969697,0.405405405405405,30,0.01,0.813559322033898,0.833333333333333,"India"
"57045",18426,144,0.00115732921990419,10614.2857142857,0,0.95632183908046,0.399159663865546,30,0.01,0.813559322033898,0.769230769230769,"India"
"57046",18427,145,-0.0182500299649421,10705.4285714286,0,0.966722129783694,0.328767123287671,19,0.01,0.703389830508475,0.857142857142857,"India"
"57047",18428,146,-0.0125070106654919,11023.2857142857,0,0.967365967365967,0.342105263157895,19,0.01,0.703389830508475,0.866666666666667,"India"
"57048",18429,147,-0.0260661522932134,11131.2857142857,0,0.967930029154519,0.354838709677419,19,0.01,0.703389830508475,0.875,"India"
"57049",18430,148,-0.0212601425334484,11477.2857142857,0,0.968428277282086,0.367021276595745,19,0.01,0.703389830508475,0.882352941176471,"India"
"57050",18431,149,-0.0119371323681283,11856.7142857143,0,0.968871595330739,0.378698224852071,19,0.01,0.703389830508475,0.888888888888889,"India"
"57051",18432,150,0.00162425024796545,12293.5714285714,0,0.969268592501537,0.389908256880734,19,0.01,0.703389830508475,0.894736842105263,"India"
"57052",18433,151,0.0156159673331241,12789.8571428571,1,0.969626168224299,0.400684931506849,19,0.01,0.703389830508475,0.9,"India"
"57053",18434,152,0.0445640194428579,13265.4285714286,1,0.969949916527546,0.411057692307692,19,0.01,0.703389830508475,0.904761904761905,"India"
"57054",18435,153,0.0725172394806022,13874.8571428571,1,0.970244420828905,0.421052631578947,19,0.01,0.703389830508475,0.909090909090909,"India"
"57055",18436,154,0.101205025702069,14588.2857142857,1,0.970244420828905,0.414201183431953,19,0.01,0.697478991596639,0.909090909090909,"India"
"57056",18437,155,0.0978731347120056,15165.5714285714,1,0.970244420828905,0.407569141193595,19,0.01,0.691666666666667,0.909090909090909,"India"
"57057",18438,156,0.0933752967389025,15695.5714285714,1,0.970244420828905,0.401146131805158,19,0.01,0.685950413223141,0.909090909090909,"India"
"57058",18439,157,0.0902802918156834,16272.1428571429,1,0.970244420828905,0.394922425952045,19,0.01,0.680327868852459,0.909090909090909,"India"
"57059",18440,158,0.0826248129038344,16915.4285714286,1,0.970588235294118,0.394922425952045,19,0.01,0.682926829268293,0.909090909090909,"India"
