"","dates","Days","EVI","Cases","Index","pvs","pvn","lag_all","c_all","se_all","sp_all","name"
"46327",19089,807,-0.0768303100171338,133615.714285714,0,0.748622470496325,0.847099078006105,21,0.01,0.735593220338983,0.855711422845691,"France"
"46328",19090,808,-0.0893695652058315,133609.142857143,0,0.748626942290177,0.84739873536593,21,0.01,0.735593220338983,0.856,"France"
"46329",19091,809,-0.100777998810101,134990.142857143,0,0.748631396285661,0.847697218422253,21,0.01,0.735593220338983,0.856287425149701,"France"
"46330",19092,810,-0.122199969065143,135759.857142857,0,0.748635832588825,0.847994534076616,21,0.01,0.735593220338983,0.856573705179283,"France"
"46331",19093,811,-0.189035343894705,134819.857142857,0,0.748640251304879,0.848290689176491,21,0.01,0.735593220338983,0.856858846918489,"France"
"46332",19094,812,-0.19458559084718,132107,0,0.748644652538196,0.848585690515807,21,0.01,0.735593220338983,0.857142857142857,"France"
"46333",19095,813,-0.214006718524613,131468.571428571,0,0.748649036392329,0.848879544835471,21,0.01,0.735593220338983,0.857425742574257,"France"
"46334",19096,814,-0.231863076788825,128401.285714286,0,0.748653402970014,0.849172258823889,21,0.01,0.735593220338983,0.857707509881423,"France"
"46335",19097,815,-0.148020340755264,125028,0,0.748657752373176,0.849463839117476,21,0.01,0.735593220338983,0.857988165680473,"France"
"46336",19098,816,0.0658553154127137,120714,0,0.748662084702942,0.849754292301159,21,0.01,0.735593220338983,0.858267716535433,"France"
"46337",19099,817,0.179057407175017,117713.428571429,0,0.748666400059648,0.850043624908879,21,0.01,0.735593220338983,0.858546168958743,"France"
"46338",19100,818,0.144752770074392,116895.142857143,0,0.748670698542842,0.850331843424082,21,0.01,0.735593220338983,0.858823529411765,"France"
"46339",19101,819,0.573009797786261,93284.8571428571,0,0.748674980251298,0.85061895428021,21,0.01,0.735593220338983,0.859099804305284,"France"
"46340",19102,820,0.218694124544767,94610.5714285714,0,0.748679245283019,0.850904963861179,21,0.01,0.735593220338983,0.859375,"France"
"46341",19103,821,0.160559371983817,89816.7142857143,0,0.748683493735246,0.851189878501858,21,0.01,0.735593220338983,0.859649122807018,"France"
"46342",19104,822,0.13230751386292,84549,0,0.748687725704467,0.851473704488538,21,0.01,0.735593220338983,0.859922178988327,"France"
"46343",19105,823,0.110427545066132,80118.7142857143,0,0.74869194128642,0.851756448059401,21,0.01,0.735593220338983,0.860194174757282,"France"
"46344",19106,824,0.0918917103709545,76162.1428571429,0,0.748696140576105,0.852038115404976,21,0.01,0.735593220338983,0.86046511627907,"France"
"46345",19107,825,0.0614163158081991,75341,0,0.74870032366779,0.852318712668598,21,0.01,0.735593220338983,0.86073500967118,"France"
"46346",19108,826,0.00957210763610819,85627.8571428571,0,0.748704490655015,0.852598245946853,21,0.01,0.735593220338983,0.861003861003861,"France"
"46347",19109,827,0.0387607074168757,73058.4285714286,0,0.748708641630602,0.852876721290027,21,0.01,0.735593220338983,0.861271676300578,"France"
"46348",19110,828,0.0433261650499863,66775,0,0.748712776686661,0.853154144702543,21,0.01,0.735593220338983,0.861538461538462,"France"
"46349",19111,829,0.0386341988059993,61697.7142857143,0,0.748716895914597,0.853430522143396,21,0.01,0.735593220338983,0.861804222648752,"France"
"46350",19112,830,0.0274011624103861,57256.4285714286,0,0.748720999405116,0.853705859526581,21,0.01,0.735593220338983,0.862068965517241,"France"
"46351",19113,831,0.0127346812155538,54081,0,0.748725087248234,0.853980162721523,21,0.01,0.735593220338983,0.862332695984704,"France"
"46352",19114,832,-0.00444472469371242,53324,0,0.748729159533279,0.854253437553489,21,0.01,0.735593220338983,0.862595419847328,"France"
"46353",19115,833,-0.00683689720410244,48983.2857142857,0,0.748733216348903,0.854525689804009,21,0.01,0.735593220338983,0.862857142857143,"France"
"46354",19116,834,-0.0209102189880233,46166.5714285714,0,0.748737257783084,0.854796925211286,21,0.01,0.735593220338983,0.863117870722434,"France"
